id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
18818,12/2/2019,TEOGH08016,Super ,30,250,210,Super ,30,140,120,1
18819,12/2/2019,FSFSH0703001,Super ,30,140,120,Super ,30,250,210,2
18820,12/2/2019,TRDSL00095,Super ,30,140,120,Super ,30,250,210,1
18821,12/2/2019,TRDSL00194,Super ,30,140,120,Super ,30,250,210,1
18822,12/2/2019,TEOCA01017,Super ,30,140,120,Super ,30,250,210,1
18823,12/2/2019,TEOQE14011,Super ,30,250,210,Super ,30,140,120,1
18824,12/2/2019,101-TEGCCABCCNCC,Super ,30,250,210,Super ,30,600,500,1
18825,12/2/2019,TEODO07057,Super ,30,250,210,Super ,30,140,120,2
18826,12/2/2019,TEECA02021,Super ,30,600,500,Super ,30,250,210,1
18827,12/1/2019,TEOIS10014,Super ,30,140,120,Super ,30,250,210,1
18828,12/1/2019,TEORS11038,Super ,30,140,120,Super ,30,250,210,1
18829,12/1/2019,101-TEGCCABCCNCC,Super ,30,250,210,Mega ,70,250,310,3
18830,12/1/2019,TEEAL07012,Super ,30,250,210,Super ,30,140,120,1
18831,12/1/2019,TDOCA02011,Super ,30,600,500,Super ,30,250,210,1
18832,12/1/2019,101-001,Super ,30,250,210,Mega ,70,250,310,2
18833,12/1/2019,101-TEGCCABCCNCC,Super ,30,600,500,Super ,30,140,120,4
18834,12/1/2019,TEODK07015,Super ,30,140,120,Super ,30,250,210,1
18835,12/1/2019,101-001,Super ,30,250,210,Super ,30,140,120,3
18836,12/1/2019,TEEAL07011,Super ,30,600,500,Ultra ,100,600,700,2
18837,12/1/2019,TEODK07015,Super ,30,250,210,Super ,30,140,120,2
18838,12/1/2019,ARFDK0701004,Super ,30,250,210,Super ,30,140,120,1
18839,12/1/2019,TEOMA06031,Super ,30,140,120,Super ,30,250,210,3
18840,12/1/2019,TEEGI05011,Super ,30,140,120,Super ,30,250,210,5
18841,12/1/2019,TEORS11032,Super ,30,140,120,Super ,30,250,210,1
18842,12/1/2019,TREX00103,Super ,30,140,120,Super ,30,250,210,1
18843,12/1/2019,TDOCA03022,Super ,30,250,210,Mega ,70,250,310,1
18844,12/1/2019,101-001,Super ,30,140,120,Super ,30,250,210,43
18845,12/1/2019,TEOQE14016,Super ,30,140,120,Super ,30,600,500,1
18846,12/1/2019,TDOCA02011,Super ,30,140,120,Super ,30,250,210,8
18847,12/1/2019,TEODK07024,Super ,30,250,210,Super ,30,140,120,1
18848,12/1/2019,TEOQU08031,Super ,30,250,210,Super ,30,140,120,2
18849,12/1/2019,TDOAL07031,Super ,30,250,210,Super ,30,140,120,3
18850,12/1/2019,101-TEGCCABCCNCC,Ultra ,100,140,320,Mega ,70,250,310,1
18851,12/1/2019,TEOKS09031,Super ,30,250,210,Super ,30,140,120,2
18852,12/1/2019,TEOME12034,Super ,30,250,210,Super ,30,600,500,1
18853,12/1/2019,TEOCA01022,Super ,30,140,120,Super ,30,250,210,1
18854,12/1/2019,TREX00091,Super ,30,250,210,Super ,30,140,120,1
18855,12/1/2019,101-001,Super ,30,140,120,Super ,30,250,210,1
18856,12/1/2019,TEOBE09014,Super ,30,140,120,Super ,30,250,210,1
18857,12/1/2019,101-TEGCCABCCVVS,Mega ,70,140,220,Super ,30,140,120,1
18858,12/1/2019,101-001,Super ,30,140,120,Super ,30,600,500,1
18859,12/1/2019,TEECA02011,Super ,30,140,120,Super ,30,250,210,1
18860,12/1/2019,TRFR00014,Super ,30,140,120,Super ,30,250,210,1
18861,12/1/2019,TDOCA02011,Super ,30,250,210,Mega ,70,250,310,1
