TREX00115,Super ,30,140,120,Super ,30,250,210,1
TDOCA03031,Super ,30,250,210,Super ,30,600,500,4
TDORS11033,Super ,30,140,120,Super ,30,250,210,1
TEOCA01014,Super ,30,140,120,Mega ,70,140,220,1
TEOSO130210,Super ,30,140,120,Super ,30,250,210,1
TEOAL05029,Mega ,70,140,220,Mega ,70,250,310,1
TEOCA03023,Super ,30,140,120,Mega ,70,250,310,1
TREX00104,Super ,30,140,120,Super ,30,250,210,1
TEORS11036,Super ,30,250,210,Super ,30,600,500,1
TEOFA12022,Super ,30,140,120,Super ,30,250,210,2
TEOGI04031,Super ,30,140,120,Super ,30,250,210,6
TEOCA010112,Super ,30,140,120,Mega ,70,250,310,1
TEOQU03011,Super ,30,140,120,Super ,30,250,210,2
TDOAL08011,Super ,30,140,120,Super ,30,250,210,2
TEOMO08027,Super ,30,140,120,Super ,30,250,210,2
CPFMO0803001,Super ,30,140,120,Super ,30,250,210,1
TEOMO08026,Super ,30,140,120,Super ,30,250,210,1
TEOCA02033,Super ,30,250,210,Super ,30,600,500,1
TDOGI04044,Super ,30,140,120,Super ,30,250,210,1
TEECA03023,Super ,30,140,120,Super ,30,250,210,1
TEECA02022,Super ,30,140,120,Super ,30,250,210,3
TEOGI04017,Super ,30,140,120,Super ,30,250,210,3
TDOCA01021,Super ,30,250,210,Super ,30,600,500,1
TEOIS10017,Super ,30,140,120,Super ,30,250,210,2
TEOGI05012,Super ,30,250,210,Super ,30,600,500,1
TREX00146,Super ,30,140,120,Super ,30,250,210,1
101-TEGCCABCCNCC,Super ,30,140,120,Super ,30,250,210,159
TREX00074,Super ,30,140,120,Super ,30,250,210,1
FCFKCA02022,Super ,30,140,120,Super ,30,250,210,1
TEOGI04017,Super ,30,250,210,Super ,30,600,500,2
TEOSU11014,Super ,30,140,120,Super ,30,250,210,1
TEOCA01015,Mega ,70,140,220,Ultra ,100,140,320,1
DNFGI0401002,Super ,30,140,120,Super ,30,250,210,1
TEOAT13014,Super ,30,140,120,Super ,30,250,210,1
101-TEGCCACCDCSA,Super ,30,250,210,Super ,30,600,500,1
TEOFA12022,Super ,30,140,120,Super ,30,250,210,1
TEOCA01026,Super ,30,140,120,Super ,30,250,210,1
TRDSL00717,Super ,30,140,120,Super ,30,250,210,1
TEOBS12013,Super ,30,140,120,Super ,30,250,210,1
TEORS11031,Super ,30,140,120,Super ,30,250,210,1
TEODK07022,Super ,30,140,120,Super ,30,250,210,2
TEOSH07041,Super ,30,140,120,Super ,30,250,210,1
TEOMO08021,Super ,30,140,120,Super ,30,250,210,5
TEOBS12011,Super ,30,140,120,Super ,30,250,210,4
TDOGI06011,Super ,30,140,120,Super ,30,250,210,1
DEFCA0201001,Super ,30,140,120,Super ,30,250,210,2
TEOAT13012,Super ,30,250,210,Super ,30,600,500,2
TEOSU110111,Super ,30,140,120,Super ,30,250,210,3
FSFSH0703001,Super ,30,140,120,Super ,30,250,210,1
TEOQE14011,Super ,30,140,120,Super ,30,250,210,1
TRMF00016,Super ,30,140,120,Super ,30,250,210,1
ASFCA0203003,Super ,30,140,120,Super ,30,250,210,1
TEOCA03033,Super ,30,140,120,Super ,30,250,210,1
101-001,Super ,30,140,120,Ultra ,100,250,410,1
101-001,Super ,30,140,120,Super ,30,250,210,2
101-TEGCCADSD,Super ,30,140,120,Super ,30,250,210,11
TEOPS10021,Super ,30,140,120,Super ,30,250,210,1
TEODK07015,Super ,30,140,120,Super ,30,250,210,2
TEECA01011,Super ,30,250,210,Super ,30,600,500,1
TEOCA01011,Super ,30,250,210,Super ,30,600,500,2
TEOIS10011,Super ,30,140,120,Super ,30,250,210,1
TRFR00010,Super ,30,140,120,Super ,30,250,210,1
TDOCA01011,Super ,30,250,210,Mega ,70,250,310,2
TEOCA01026,Super ,30,140,120,Super ,30,250,210,4
TEODK07026,Super ,30,140,120,Super ,30,250,210,1
TEOCA02032,Super ,30,140,120,Super ,30,250,210,4
TEOIS10013,Super ,30,140,120,Super ,30,250,210,1
TEOMA06031,Super ,30,140,120,Super ,30,250,210,1
TEOSH07034,Super ,30,140,120,Super ,30,250,210,2
TDOCA03031,Super ,30,250,210,Mega ,70,250,310,1
TEOGI040210,Super ,30,140,120,Super ,30,250,210,1
TDOGI05011,Super ,30,250,210,Mega ,70,250,310,1
TEORS11032,Super ,30,250,210,Mega ,70,140,220,1
TRMF00061,Super ,30,140,120,Super ,30,250,210,1
TREX00007,Super ,30,140,120,Super ,30,250,210,1
TEECA01021,Super ,30,140,120,Super ,30,250,210,1
TEOBE09024,Super ,30,140,120,Super ,30,250,210,1
TEEAL07023,Super ,30,140,120,Ultra ,100,140,320,1
Btech006,Super ,30,140,120,Super ,30,250,210,1
TEOGH08013,Super ,30,140,120,Super ,30,250,210,2
TREX00050,Super ,30,140,120,Super ,30,250,210,1
TEOGH08012,Super ,30,140,120,Super ,30,250,210,2
TDOGI04043,Super ,30,140,120,Super ,30,250,210,1
TEODK07014,Super ,30,140,120,Super ,30,250,210,1
TDOCA02011,Super ,30,140,120,Super ,30,250,210,9
WHFCA0203001,Super ,30,140,120,Super ,30,250,210,1
TRDSL00150,Super ,30,140,120,Super ,30,600,500,1
TEODK070123,Super ,30,100,110,Super ,30,140,120,1
TEORS11035,Super ,30,140,120,Super ,30,250,210,1
TEOSO13025,Super ,30,140,120,Super ,30,250,210,2
TEORS11031,Super ,30,140,120,Super ,30,250,210,2
TDOCA01011,Super ,30,140,120,Super ,30,250,210,2
FSFSH0703004,Super ,30,140,120,Super ,30,250,210,1
Btech004,Super ,30,140,120,Super ,30,250,210,3
TEOSU11016,Super ,30,140,120,Super ,30,250,210,2
TEOCA01022,Super ,30,140,120,Super ,30,250,210,1
WSFBE0902006,Super ,30,140,120,Super ,30,250,210,1
TDOLU14021,Super ,30,250,210,Super ,30,600,500,1
FSFSH0703001,Super ,30,140,120,Super ,30,250,210,1
TEOQE14016,Super ,30,140,120,Super ,30,250,210,1
TEOGI040410,Super ,30,140,120,Super ,30,250,210,3
TEOCA01011,Mega ,70,250,310,Ultra ,100,600,700,1
TEOCA02032,Super ,30,250,210,Super ,30,600,500,1
TREX00039,Super ,30,140,120,Super ,30,250,210,1
TEOQE14011,Super ,30,140,120,Super ,30,250,210,1
TDOBE09011,Super ,30,140,120,Super ,30,250,210,1
TEOCA010112,Mega ,70,140,220,Mega ,70,250,310,1
TEOAS14031,Super ,30,140,120,Super ,30,250,210,2
DSFQU0301003,Super ,30,140,120,Super ,30,250,210,1
TEOSO13028,Super ,30,140,120,Super ,30,250,210,1
TEECA02022,Super ,30,250,210,Super ,30,600,500,1
TDODK07012,Super ,30,140,120,Super ,30,250,210,3
TRDSL00249,Super ,30,140,120,Super ,30,250,210,2
TEOCA01013,Super ,30,140,120,Super ,30,250,210,2
TEORS11033,Super ,30,140,120,Super ,30,250,210,1
TEOQU03011,Super ,30,140,120,Super ,30,250,210,1
TDOCA01011,Super ,30,140,120,Super ,30,250,210,4
TEOCA01011,Super ,30,250,210,Mega ,70,250,310,2
TEOAL05024,Super ,30,140,120,Super ,30,250,210,1
TEOAL06015,Super ,30,140,120,Super ,30,250,210,1
ARFGH0801001,Super ,30,140,120,Super ,30,250,210,1
ARFGI0403001,Super ,30,140,120,Super ,30,250,210,2
TEEAL07031,Super ,30,140,120,Mega ,70,250,310,1
DNFGH0801005,Super ,30,140,120,Super ,30,250,210,1
DNFGH0801005,Super ,30,140,120,Super ,30,250,210,2
TEOCA01027,Super ,30,250,210,Super ,30,600,500,1
